[WARD] PatientFusionEncoder available=False
[WARD] Listening on 0.0.0.0:5006
[WARD CMD] Critical/NORMAL -> SEMANTIC_SUMMARY (latency=505.0ms, windows=2, debounce=2)
[WARD CMD] Stable/NORMAL -> FULL_ECG (latency=257.2ms, windows=1, debounce=1)
[WARD CMD] Critical/NORMAL -> SEMANTIC_SUMMARY (latency=252.3ms, windows=1, debounce=1)
[WARD CMD] Stable/NORMAL -> FULL_ECG (latency=505.1ms, windows=2, debounce=2)
[WARD CMD] Unstable/NORMAL -> DOWNSAMPLED_ECG (latency=507.3ms, windows=2, debounce=2)
[WARD CMD] Stable/NORMAL -> FULL_ECG (latency=253.5ms, windows=1, debounce=1)
[WARD CMD] Critical/CRITICAL -> SEMANTIC_SUMMARY (latency=514.7ms, windows=1, debounce=2)
[WARD CMD] Stable/CRITICAL -> SEMANTIC_CRITICAL (latency=509.8ms, windows=2, debounce=2)
[WARD CMD] Critical/ALERT -> SEMANTIC_ALERT (latency=753.0ms, windows=1, debounce=3)
[WARD CMD] Stable/ALERT -> FULL_ECG_PRIORITY (latency=257.6ms, windows=1, debounce=1)
[WARD CMD] Critical/NORMAL -> SEMANTIC_SUMMARY (latency=258.4ms, windows=1, debounce=1)
[WARD CMD] Stable/NORMAL -> FULL_ECG (latency=258.5ms, windows=1, debounce=1)
[WARD CMD] Critical/NORMAL -> SEMANTIC_SUMMARY (latency=759.2ms, windows=3, debounce=3)
[WARD CMD] Stable/NORMAL -> FULL_ECG (latency=265.0ms, windows=1, debounce=1)
[WARD CMD] Critical/NORMAL -> SEMANTIC_SUMMARY (latency=768.1ms, windows=3, debounce=3)
[WARD CMD] Stable/NORMAL -> FULL_ECG (latency=502.6ms, windows=2, debounce=2)
[WARD CMD] Unstable/NORMAL -> DOWNSAMPLED_ECG (latency=284.9ms, windows=1, debounce=1)
[WARD CMD] Stable/NORMAL -> FULL_ECG (latency=502.2ms, windows=2, debounce=2)
[WARD CMD] Critical/NORMAL -> SEMANTIC_SUMMARY (latency=506.1ms, windows=2, debounce=2)
