timestamp,bandwidth_usage_bps,throughput_bps,packet_loss_rate,jitter,avg_delay,active_devices,packets_per_window,network_condition,predictor_source,prediction_confidence,estimated_lost_bytes,reordered_recovered_packets,receiver_overloaded,drain_max_ms,drain_avg_ms,drain_budget_hits,drain_backlog_hits
1778413407.689,27392.0,19712.0,0.280374,72.668933,245.37681,6,107,Critical,heuristic,,1920,56,1,0.194,0.072,0,1
1778413407.943,19968.0,18432.0,0.208791,75.363123,248.354319,4,91,Critical,heuristic,,1216,51,0,0.148,0.072,0,0
1778413408.188,26624.0,20736.0,0.235849,77.741517,255.179496,4,106,Critical,heuristic,,1600,61,1,0.147,0.076,0,1
1778413408.439,26624.0,22272.0,0.216216,76.509703,252.950633,6,111,Critical,heuristic,,1536,68,0,0.154,0.078,0,0
1778413408.688,21248.0,20480.0,0.08046,68.181461,251.599032,5,87,Critical,heuristic,,448,59,1,0.146,0.076,0,1
1778413408.938,27648.0,19712.0,0.306306,85.874338,252.285555,4,111,Critical,heuristic,,2176,52,0,0.212,0.083,0,0
1778413409.194,20224.0,20480.0,0.101124,78.942427,255.283779,5,89,Critical,heuristic,,576,63,0,0.233,0.082,0,0
1778413409.438,32256.0,22016.0,0.322835,75.413901,248.037327,5,127,Critical,heuristic,,2624,64,0,0.146,0.077,0,0
1778413409.69,19968.0,20224.0,0.159574,65.554682,247.362149,5,94,Critical,heuristic,,960,60,0,0.13,0.078,0,0
1778413409.939,26880.0,18688.0,0.317757,70.691814,245.050087,4,107,Critical,heuristic,,2176,53,0,0.144,0.076,0,0
1778413410.188,19200.0,19456.0,0.155556,71.912094,266.145669,4,90,Critical,heuristic,,896,55,0,0.172,0.081,0,0
1778413410.438,28160.0,22272.0,0.216216,80.167173,261.249331,6,111,Critical,heuristic,,1536,68,1,0.176,0.075,0,2
1778413410.689,23296.0,19712.0,0.197917,66.282226,250.369728,5,96,Critical,heuristic,,1216,54,0,0.161,0.081,0,0
1778413410.941,27136.0,21248.0,0.216981,81.711812,249.496161,4,106,Critical,heuristic,,1472,64,0,0.174,0.079,0,0
1778413411.193,26112.0,19968.0,0.257143,64.99008,249.609024,4,105,Critical,heuristic,,1728,52,0,0.214,0.079,0,0
1778413411.444,28416.0,20992.0,0.299145,78.208548,230.696579,6,117,Critical,heuristic,,2240,60,0,0.16,0.074,0,0
1778413411.689,123904.0,103424.0,0.188755,128.603248,39.228855,6,498,Critical,heuristic,,6016,299,1,0.364,0.084,0,1
1778413411.938,27648.0,21504.0,0.294118,67.939006,245.156081,4,119,Critical,heuristic,,2240,61,0,0.217,0.074,0,0
1778413412.192,23808.0,21248.0,0.14433,87.142442,229.557462,4,97,Critical,heuristic,,896,64,0,0.232,0.073,0,0
1778413412.444,24832.0,21504.0,0.2,75.384583,228.027253,6,105,Critical,heuristic,,1344,63,0,0.15,0.071,0,0
1778413412.688,27648.0,21504.0,0.236364,85.227501,231.071117,5,110,Critical,heuristic,,1664,59,0,0.168,0.077,0,0
1778413412.941,20992.0,22016.0,0.094737,80.246942,234.981176,4,95,Critical,heuristic,,576,70,1,0.179,0.077,0,1
1778413413.194,25600.0,20992.0,0.203883,64.370987,234.294522,4,103,Critical,heuristic,,1344,62,0,0.239,0.084,0,0
1778413413.442,22528.0,19200.0,0.210526,68.347801,236.068961,5,95,Critical,heuristic,,1280,57,0,0.239,0.085,0,0
1778413413.689,25344.0,21504.0,0.151515,81.02323,248.72601,5,99,Critical,heuristic,,960,64,0,0.145,0.077,0,0
1778413413.939,22528.0,19968.0,0.178947,72.549514,249.108846,4,95,Critical,heuristic,,1088,55,0,0.207,0.074,0,0
1778413414.194,31232.0,21760.0,0.314516,76.34212,238.920203,5,124,Critical,heuristic,,2496,57,1,0.181,0.079,0,1
1778413414.44,20736.0,19456.0,0.182796,81.207897,241.171062,5,93,Critical,heuristic,,1088,56,0,0.189,0.085,0,0
1778413414.688,23296.0,21760.0,0.095745,71.063106,243.104859,4,94,Critical,heuristic,,576,59,0,0.211,0.079,0,0
1778413414.938,25856.0,21504.0,0.192308,71.050468,240.443323,4,104,Critical,heuristic,,1280,63,1,0.235,0.081,0,1
1778413415.192,26624.0,19968.0,0.264151,72.745488,228.515264,4,106,Critical,heuristic,,1792,51,0,0.17,0.081,0,0
1778413415.439,24064.0,23296.0,0.09,74.756554,223.329607,7,100,Critical,heuristic,,576,71,1,0.179,0.078,0,1
1778413415.695,25088.0,22016.0,0.180952,63.808325,223.76142,4,105,Critical,heuristic,,1216,58,0,0.157,0.08,0,0
1778413415.944,27648.0,21760.0,0.220183,68.026927,215.854631,4,109,Critical,heuristic,,1536,63,0,0.183,0.079,0,0
1778413416.19,17920.0,19200.0,0.013158,66.85702,218.92924,4,76,Critical,heuristic,,64,53,0,0.183,0.1,0,0
1778413416.443,28928.0,18432.0,0.362832,60.08424,218.92688,5,113,Critical,heuristic,,2624,42,0,0.175,0.093,0,0
1778413416.688,25600.0,21248.0,0.224299,71.393789,215.259477,5,107,Critical,heuristic,,1536,58,1,0.151,0.085,0,1
1778413416.941,24064.0,19456.0,0.283019,62.448097,221.330837,4,106,Critical,heuristic,,1920,55,0,0.275,0.092,0,0
1778413417.191,23552.0,20224.0,0.185567,63.758868,219.168358,5,97,Critical,heuristic,,1152,56,1,0.223,0.083,0,1
1778413417.44,26880.0,20992.0,0.261261,63.352189,216.080328,4,111,Critical,heuristic,,1856,55,0,0.236,0.087,0,0
1778413417.69,24576.0,19712.0,0.197917,70.272015,210.060996,7,96,Critical,heuristic,,1216,55,1,0.226,0.091,0,1
1778413417.943,23296.0,22016.0,0.113402,58.24806,216.330958,4,97,Critical,heuristic,,704,64,0,0.272,0.082,0,0
1778413418.194,26368.0,20736.0,0.221154,70.740388,213.332182,4,104,Critical,heuristic,,1472,55,0,0.173,0.083,0,0
1778413418.438,20224.0,21504.0,0.0,69.360111,220.939378,6,84,Critical,heuristic,,0,59,0,0.134,0.077,0,0
1778413418.689,28416.0,21248.0,0.27193,78.823845,222.238911,5,114,Critical,heuristic,,1984,52,0,0.199,0.081,0,0
1778413418.939,26368.0,20736.0,0.221154,69.017396,221.137765,4,104,Critical,heuristic,,1472,57,0,0.172,0.082,0,0
1778413419.19,24064.0,21248.0,0.178218,74.286105,219.994651,4,101,Critical,heuristic,,1152,55,1,0.195,0.081,0,1
1778413419.444,25600.0,22784.0,0.127451,80.125988,216.892942,6,102,Critical,heuristic,,832,67,0,0.138,0.075,0,0
1778413419.688,24832.0,19456.0,0.296296,69.456762,223.586716,4,108,Critical,heuristic,,2048,54,1,0.143,0.076,0,2
1778413419.939,21760.0,21760.0,0.123711,73.402618,228.703224,4,97,Critical,heuristic,,768,63,0,0.159,0.077,0,0
1778413420.19,28928.0,24832.0,0.184874,57.88136,191.384999,4,119,Critical,heuristic,,1408,62,1,0.22,0.08,0,2
1778413420.44,23040.0,19456.0,0.173913,57.635856,197.902306,6,92,Critical,heuristic,,1024,46,1,0.332,0.079,0,1
1778413420.688,26112.0,20992.0,0.211538,66.042618,203.589942,4,104,Critical,heuristic,,1408,54,0,0.126,0.072,0,0
1778413420.941,24576.0,20992.0,0.203883,59.046646,197.282858,4,103,Critical,heuristic,,1344,64,0,0.255,0.074,0,0
1778413421.191,23040.0,20480.0,0.130435,68.124121,196.295911,4,92,Critical,heuristic,,768,62,0,0.177,0.08,0,0
1778413421.441,27648.0,23552.0,0.192982,64.02676,198.802733,6,114,Critical,heuristic,,1408,64,0,0.247,0.084,0,0
1778413421.69,24320.0,19456.0,0.22449,70.694001,195.990911,4,98,Critical,heuristic,,1408,53,0,0.217,0.107,0,0
1778413421.939,21760.0,22528.0,0.053763,65.77874,194.151112,4,93,Critical,heuristic,,320,58,0,0.261,0.107,0,0
1778413422.188,25600.0,22272.0,0.15534,55.2692,192.364449,4,103,Critical,heuristic,,1024,60,1,0.205,0.106,0,1
1778413422.441,27648.0,21248.0,0.258929,63.902875,204.358064,6,112,Critical,heuristic,,1856,55,0,0.228,0.095,0,0
1778413422.691,25088.0,20992.0,0.233645,59.291526,198.808446,4,107,Critical,heuristic,,1600,61,1,0.176,0.095,0,2
1778413422.944,21248.0,20224.0,0.159574,54.931918,194.455394,4,94,Critical,heuristic,,960,58,0,0.179,0.089,0,0
